epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9632,1.21447,2.18903,1.41756,1.24151,0.56345,0.77522,0.71184,0.52315,0.57036,0.78448,0.73505,0.41778,1.40776,2.47725,1.34236,1.91904,0.000174731,0.000174731,0.000174731
2,80.0992,1.05195,1.67218,0.98822,1.1349,0.58783,0.55556,0.5387,0.41846,0.58346,0.5541,0.52939,0.37405,1.54344,3.44711,2.60941,2.05,0.000346599,0.000346599,0.000346599
3,117.759,1.00427,1.55758,0.91147,1.1193,0.50861,0.60863,0.67069,0.44307,0.48224,0.65446,0.69399,0.34419,1.47384,3.63728,1.72006,1.86316,0.000514995,0.000514995,0.000514995
4,155.417,0.93025,1.41654,0.83216,1.08163,0.7237,0.6307,0.64537,0.48135,0.68959,0.60595,0.63595,0.42314,1.50112,4.39215,1.21755,2.13087,0.000510378,0.000510378,0.000510378
5,193.248,0.8583,1.29379,0.75385,1.04946,0.76899,0.54651,0.59934,0.4174,0.76073,0.54226,0.60943,0.34714,1.4076,3.99844,1.25986,1.99443,0.00050517,0.00050517,0.00050517
6,230.879,0.7934,1.18595,0.68401,1.01889,0.66974,0.66193,0.71333,0.52302,0.67438,0.66656,0.70714,0.4356,1.48092,3.81271,1.1732,2.1543,0.000499963,0.000499963,0.000499963
7,268.67,0.73546,1.07846,0.63235,0.99529,0.69304,0.66687,0.67222,0.50158,0.68173,0.66253,0.73814,0.44643,1.48643,4.74774,1.3875,2.14264,0.000494756,0.000494756,0.000494756
8,306.505,0.68053,1.00726,0.57482,0.97194,0.81951,0.62174,0.63438,0.49488,0.83254,0.63044,0.65716,0.43353,1.40379,5.58585,1.02895,2.00689,0.000489548,0.000489548,0.000489548
9,344.187,0.64901,0.93936,0.54406,0.957,0.52074,0.6875,0.73218,0.49533,0.50375,0.66898,0.69775,0.41116,1.42822,5.48067,1.2623,2.21659,0.000484341,0.000484341,0.000484341
10,381.844,0.60717,0.87072,0.50194,0.93841,0.5983,0.71759,0.73505,0.508,0.5745,0.69444,0.72051,0.44182,1.44717,5.26029,1.01911,2.1061,0.000479133,0.000479133,0.000479133
